timestamp,open,high,low,close,volume
1679259600000,1.06885,1.06886,1.06812,1.06854,141.79
1679260500000,1.06854,1.06875,1.06818,1.06875,39.12
1679261400000,1.06876,1.06876,1.06858,1.06864,72.6
1679262300000,1.06868,1.06874,1.06816,1.06818,76.59
1679263200000,1.06821,1.06885,1.06772,1.06778,4404.99
1679264100000,1.06778,1.06785,1.0675,1.06761,2544.25
1679265000000,1.06765,1.06766,1.06661,1.06761,1259.84
1679265900000,1.06762,1.06777,1.06676,1.06699,640.06
1679266800000,1.06701,1.06741,1.06673,1.06735,1004.69
1679267700000,1.06738,1.06802,1.06735,1.06794,524.25
1679268600000,1.06793,1.06824,1.06786,1.06806,840.67
1679269500000,1.06807,1.0681,1.06758,1.06804,552.51
1679270400000,1.06806,1.0686,1.06787,1.068,2166.36
1679271300000,1.068,1.06854,1.06789,1.06852,960.91
1679272200000,1.06852,1.06877,1.06831,1.06868,743.14
1679273100000,1.06867,1.06883,1.06792,1.06808,1297.64
1679274000000,1.06808,1.06898,1.06799,1.06849,897.12
1679274900000,1.0685,1.06898,1.06812,1.0688,1217.89
1679275800000,1.0688,1.06897,1.06691,1.06761,3414.16
1679276700000,1.06762,1.06774,1.06716,1.06749,1763.57
1679277600000,1.06749,1.06832,1.06749,1.06794,815.38
1679278500000,1.06793,1.06802,1.0676,1.06766,446.5
1679279400000,1.06767,1.06829,1.06738,1.06819,820.27
1679280300000,1.06819,1.06846,1.06782,1.06793,891.17
1679281200000,1.06792,1.06792,1.06705,1.06729,1261.87
1679282100000,1.06727,1.06729,1.06649,1.06693,1257.9
1679283000000,1.06694,1.06699,1.06646,1.06675,818.68
1679283900000,1.06675,1.06692,1.06659,1.06692,449.15
1679284800000,1.06691,1.0674,1.06687,1.06728,503.26
1679285700000,1.06727,1.06741,1.06704,1.06705,635.38
1679286600000,1.06706,1.06725,1.06656,1.06662,916.83
1679287500000,1.06662,1.06707,1.06662,1.06697,623.25
1679288400000,1.06695,1.0674,1.06681,1.06728,610.67
1679289300000,1.06727,1.0677,1.06706,1.06747,540.76
1679290200000,1.06748,1.06753,1.06707,1.06724,627.35
1679291100000,1.06724,1.06808,1.06724,1.06792,891.44
1679292000000,1.06793,1.0681,1.06721,1.06733,1367.04
1679292900000,1.06733,1.06742,1.06643,1.06674,2274.27
1679293800000,1.06672,1.06677,1.06586,1.06619,3204.78
1679294700000,1.06617,1.06663,1.06597,1.06606,2266.9
1679295600000,1.06606,1.06619,1.06416,1.0647,4488.67
1679296500000,1.0647,1.06691,1.06428,1.06674,4694.49
1679297400000,1.06673,1.06708,1.06596,1.06605,14671.07
1679298300000,1.06604,1.06627,1.06534,1.06554,13234.1699
1679299200000,1.06554,1.06685,1.06481,1.06485,17464.3501
1679300100000,1.06484,1.06505,1.06311,1.06316,16922.6
1679301000000,1.06314,1.06495,1.06314,1.06494,12464.29
1679301900000,1.06494,1.06624,1.06485,1.0661,11746.31
1679302800000,1.0661,1.0668,1.06533,1.06569,11830.05
1679303700000,1.06569,1.06581,1.06496,1.06531,11199.8
1679304600000,1.06528,1.06683,1.06528,1.06635,12385.5699
1679305500000,1.06635,1.06777,1.06595,1.06743,10068.08
1679306400000,1.06743,1.06844,1.06706,1.06796,11978.7101
1679307300000,1.06796,1.06908,1.06796,1.06877,9179.43
1679308200000,1.06876,1.06994,1.06863,1.06981,6981
1679309100000,1.0698,1.06994,1.06931,1.06959,7091.93
1679310000000,1.06959,1.06998,1.06928,1.0697,9273.33
1679310900000,1.06969,1.06978,1.06886,1.06971,7810.7501
1679311800000,1.06971,1.06994,1.06926,1.06946,5333.5999
1679312700000,1.06947,1.07086,1.06937,1.07068,5835.65
1679313600000,1.07071,1.07088,1.07024,1.0708,6314.45
1679314500000,1.07082,1.07156,1.07017,1.07124,11896.0202
1679315400000,1.07124,1.07176,1.07102,1.0711,11155.91
1679316300000,1.07109,1.07136,1.07029,1.0705,9450.3802
1679317200000,1.07052,1.07183,1.07027,1.07164,7115.62
1679318100000,1.07163,1.07251,1.0715,1.07227,7394.0301
1679319000000,1.07227,1.07306,1.07201,1.07299,13218.6601
1679319900000,1.07298,1.07309,1.0718,1.07237,11626.5898
1679320800000,1.07237,1.07295,1.07157,1.07186,13374.59
1679321700000,1.07186,1.0722,1.07124,1.07167,9102.9799
1679322600000,1.07167,1.07227,1.07167,1.07175,7120.5001
1679323500000,1.07176,1.07269,1.07171,1.07267,7238.4299
1679324400000,1.07267,1.07267,1.07212,1.07233,6645.5301
1679325300000,1.07235,1.07243,1.07131,1.07183,6923.17
1679326200000,1.07185,1.07211,1.07114,1.07136,6077.51
1679327100000,1.07135,1.0722,1.07116,1.07211,7580.2799
1679328000000,1.07211,1.0724,1.07139,1.07171,9808.48
1679328900000,1.07175,1.07195,1.07067,1.07169,9112.69
1679329800000,1.0717,1.07235,1.07163,1.07216,6436.75
1679330700000,1.07217,1.07253,1.07203,1.07251,5977.48
1679331600000,1.07251,1.07273,1.07224,1.07268,4132.76
1679332500000,1.07268,1.07283,1.0722,1.0724,4667.09
1679333400000,1.07241,1.0726,1.07174,1.0719,4396.32
1679334300000,1.0719,1.07198,1.07155,1.07161,3809.49
1679335200000,1.07161,1.07207,1.0714,1.07197,3710.09
1679336100000,1.07197,1.07254,1.07185,1.07236,3525.87
1679337000000,1.07237,1.07256,1.07211,1.07245,4177.03
1679337900000,1.07247,1.07252,1.07228,1.07242,3148.73
1679338800000,1.07244,1.07253,1.07192,1.07196,2809
1679339700000,1.07197,1.0724,1.0719,1.07237,2588.65
1679340600000,1.07237,1.07258,1.07207,1.07207,1608.12
1679341500000,1.07207,1.07234,1.07192,1.07231,2082.03
1679342400000,1.07231,1.07235,1.07202,1.07229,3745.39
1679343300000,1.07227,1.07239,1.07218,1.07224,1151.68
1679344200000,1.07225,1.0724,1.07219,1.07227,1960.78
1679345100000,1.07227,1.07239,1.072,1.072,1105.41
